migration_action,repo_target,source_path,sha256,size_bytes,status,size_risk,reason
ARCHIVE,figures/publication/Janus_MoSSe_PublicationFigure_Manuscript_v6.docx,janus_n18_publication_figures/Janus_MoSSe_PublicationFigure_Manuscript_v6.docx,c8814c775ee82dc3bbe1ba5cac194360ae93c798bb82a6ba36324da46cb629ee,4353851,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority."
ARCHIVE,figures/publication/Janus_MoSSe_PublicationFigure_SI_v4.docx,janus_n18_publication_figures/Janus_MoSSe_PublicationFigure_SI_v4.docx,04a5753b71bad758080496410969da740673a50b442fb50ed268a9257ad52f91,50606,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority."
ARCHIVE,figures/publication/N18_PublicationFigure_AuditBundle.zip,janus_n18_publication_figures/N18_PublicationFigure_AuditBundle.zip,7da6f5f196b9192faf18c4021c74c914b0393a9c2d50c4412e9b21784c8bd1ad,11386552,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,reproducibility/Janus_MoSSe_Current_ReproducibilityRelease_v2/config/production.json,janus_n17_repro_release/Janus_MoSSe_Current_ReproducibilityRelease_v2/config/production.json,655c8eeef01037846dead3fe33349fe9314ef5f9c035596e7c71100876256239,3319,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority."
ARCHIVE,research-os/janus_n11_citation_novelty/N11_CitationNovelty_AuditBundle.zip,janus_n11_citation_novelty/N11_CitationNovelty_AuditBundle.zip,8aa58c5292fae2ac7e21609748feec8ea7863fc1b2b6e69902e1832e96158801,3746508,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n13_claim_figure_revision/N13_ClaimFigureThermalRevision_Bundle.zip,janus_n13_claim_figure_revision/N13_ClaimFigureThermalRevision_Bundle.zip,1668fb81906cc5f6187339176a5a41334c2581d4d6d550a00dc7cdd7c37bf92d,4743507,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n15_targeted_revision/N15_RedTeamClosure_Bundle.zip,janus_n15_targeted_revision/N15_RedTeamClosure_Bundle.zip,fef1250d0230ef4665ca178ee43e212917ec1ce2e02dfdeda7b558f5a3a0164a,3904403,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n15_targeted_revision/N16_FiveReviewerAudit_Bundle.zip,janus_n15_targeted_revision/N16_FiveReviewerAudit_Bundle.zip,e79f7c3b82d8d98b23249bc493301612d37171f2ba5f5666fe9a014eee1e9ec3,3914017,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n15_targeted_revision/N16_ReviewClosure_TargetedRevision_Bundle.zip,janus_n15_targeted_revision/N16_ReviewClosure_TargetedRevision_Bundle.zip,54c82cdb6a1b48e5fa7475cbfa346b8d286d595a1474f802b17de1c3082f8812,3917436,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n17_upstream_strengthening/N17_UpstreamStrengthening_Bundle.zip,janus_n17_upstream_strengthening/N17_UpstreamStrengthening_Bundle.zip,15b0914f12d233993e353a5626c3b15eba0c187fa04959f836ae2dcc0735021a,3958913,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n2_gate/Janus_MoSSe_CanonicalUnguided_BaselineRelease.zip,janus_n2_gate/Janus_MoSSe_CanonicalUnguided_BaselineRelease.zip,aab51d38ba587bc7d1f95765be159740698d575c0a82c3906c4c863ff3bcdffc,6008071,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n2_gate/N2_FiniteSizeShape_GateBundle.zip,janus_n2_gate/N2_FiniteSizeShape_GateBundle.zip,94938f7f661a5e484abed418e6b562d6ca5819f4eda23271070b3fbd27dd456e,279341,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n3_gate/N3_BoundaryRegistry_GateBundle.zip,janus_n3_gate/N3_BoundaryRegistry_GateBundle.zip,33013992b4a086ed506a3db0070e872a387b343485b05fc6b4f77468a3bb568c,16380,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n4_gate/N4_OddSector_GaugeGateBundle.zip,janus_n4_gate/N4_OddSector_GaugeGateBundle.zip,1a3e314c3520256ba27681ec541b8bbdc12723c7ddb972a3f0f9db295de0a575,150187,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n5_gate/N5_VectorModeLocking_Floquet_GateBundle.zip,janus_n5_gate/N5_VectorModeLocking_Floquet_GateBundle.zip,4d1403ae3e03486675e3a24b888ec84de0362683318e22997468802233fa00fa,46678,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n8_gate/Janus_MoSSe_AuditResolved_ReproducibilityRelease.zip,janus_n8_gate/Janus_MoSSe_AuditResolved_ReproducibilityRelease.zip,fa39097305aa305fd11bb270ac2a21a96838214f09d2b54ab185515ba4b88fa2,5952036,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n8_gate/Janus_MoSSe_ElasticValidation_CodeAndData.zip,janus_n8_gate/Janus_MoSSe_ElasticValidation_CodeAndData.zip,531860485408aa95433c98e5125461bb847268276e27179ff7cf1be8656dea2a,133353,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n8_gate/Janus_MoSSe_WorkflowValidated_SubmissionBundle.zip,janus_n8_gate/Janus_MoSSe_WorkflowValidated_SubmissionBundle.zip,7e521be4ab471b54008397ef315cc1bba6d68b30d5d9cbb773324d17a94e6355,3519570,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n8_gate/N8_ThermalElasticity_GateBundle.zip,janus_n8_gate/N8_ThermalElasticity_GateBundle.zip,a985a498de6f3d7657015308c1f4fd184be535342c404b69a11f38582a37df68,149696,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_n9_claim_matrix/N9_ClaimEvidence_GateBundle.zip,janus_n9_claim_matrix/N9_ClaimEvidence_GateBundle.zip,4b572712bbc81c89ed0f674908f8fa2bca16d7addb38078228b2844668bb1763,47826,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_redteam_closure/N14_RedTeamClosure_Bundle.zip,janus_redteam_closure/N14_RedTeamClosure_Bundle.zip,e3eda12a1db724d06bafa27c5c76ebb14ccea68ef023c9f52d69de058fe2ea0b,5896,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_redteam_gate/N12_RedTeam_GateBundle.zip,janus_redteam_gate/N12_RedTeam_GateBundle.zip,6d4563c4d863d8a62c9d5a167768a883bdd16110080db8c42a9d0695561082c2,17143,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,research-os/janus_redteam_gate/rtb01/RTB01_ThermalStationarity_ClosureBundle.zip,janus_redteam_gate/rtb01/RTB01_ThermalStationarity_ClosureBundle.zip,fa1e54cb07ea41df0a980eb00098283205b5265ead28a31d6c7257f17b5968dd,21108,ARCHIVE_BUNDLE,OK,Historical bundle; contents may also exist unpacked.
ARCHIVE,submission/acs-nano/cover-letter/ACS_Nano_Cover_Letter_DRAFT.docx,janus_n19_acs_submission/cover_letter/ACS_Nano_Cover_Letter_DRAFT.docx,7f152f4022b253e6b50b26747d9b0488be932e21a753397b8dd344888afc3c63,37932,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority."
ARCHIVE,submission/acs-nano/qa/ACS_Nano_Initial_Submission_Manuscript_preQA.docx,janus_n19_acs_submission/qa/ACS_Nano_Initial_Submission_Manuscript_preQA.docx,052f8b0c128063a4b15f6e9e99f31dbc40b9931133347362108645b59fb18652,4354689,LEGACY,OK,"Superseded draft/config/output retained for provenance, not current authority."
EXCLUDE,,janus_acs_nano_venue/render_v6/Janus_MoSSe_ACSNano_Structured_Manuscript_v6.pdf,326ee1a90cb56f896d8d5e0d1474df8cb311e7ad949f2733c24e81bd3fb02ca4,1531159,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-1.png,409d936f03269cf94ea0453280a4808be1985de8018375b68ef90c4d4e314dde,631645,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-10.png,a8509fade13912e4504b26dd4800b1121833033d8a666e5542e87b3516e6778c,661844,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-11.png,60c40c9e63a02569b7d17c1da3ee8d1ec8a7615da87d4e5d52dd984603b4f620,557191,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-12.png,83f13857a2decafb290d73be016118b344c5eea658245121dfd0687aeb1bc4c1,560188,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-13.png,95cdeb2c4450065ff4514baa4c6ddf671c04dae9b19ecdb47a28eaa7a71416fd,612551,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-14.png,168563725601cf9e7c025d71445aad1c1d016f8008b67082a63989f643405742,432418,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-15.png,b2af9142896b8f30913c26381f079acaf69ed3e661d721fed888671fcde68565,639935,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-16.png,857e53f6da3cf104cf28b64d950cd8a26e97d43167235d02634a414c0bd4e02b,397556,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-2.png,73ec6e9b80b2f05183ec44b4d15b0630e8417cd708a6c62388c6a64a401c8ca8,770890,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-3.png,1edde5b807a598f69e2b176dc445a2ad1e8c9a02f0803914fd2ee6ea8e027cd9,381261,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-4.png,e89dee88fa9e4d1f2cd5656b9965212c19555571367302ac048d1aa4494640e2,457047,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-5.png,488e480a441289dfc7da01fb11fc3422f6f0df4d00d97416ed43ecffa1c35d02,637648,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-6.png,4cf005bc5d32c55c322866da267dcb614e28178a4e7b62ad408d4aa2fa16ad7a,611984,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-7.png,8f15cb386fe2227b7b50ec2618270a51533b0f481980789f42cadfada5f590d6,563038,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-8.png,86e2b53efec4d1558a29b5707ba2f380d4f27eaafce9ad11d557ad81401b8f3b,494508,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6/page-9.png,fd283835ed4fcc9e4ea16abaceafcdff44043b0ebfc88a92273889355c39950c,646886,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/Janus_MoSSe_ACSNano_Structured_Manuscript_v6.pdf,7fa575897e21ee792fe66885911dacef76b9c078006f6495188eb3411796c7e3,1529437,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-1.png,409d936f03269cf94ea0453280a4808be1985de8018375b68ef90c4d4e314dde,631645,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-10.png,5a3d4417edc469f67acc6002eb0a391c0fe33c2a98cb3fe0e982e582b456bf69,661984,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-11.png,4f844ee7b794f9542b46db7d29aee679e920850aa1771b78393efe9e9a198c43,556054,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-12.png,903da1d3140cb09038610d9a2582dca17a4f41405a1817dc580b58d84830b046,559629,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-13.png,17b7252103999093d243933aabbea8adfd89edcf73e8fc7982e86fb3de0099ba,612816,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-14.png,2ea8a7e8994ad25fccff5a5bb2a169c808a25347c2ddc23ce8915f4b40a710d0,431580,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-15.png,b2af9142896b8f30913c26381f079acaf69ed3e661d721fed888671fcde68565,639935,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-16.png,857e53f6da3cf104cf28b64d950cd8a26e97d43167235d02634a414c0bd4e02b,397556,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-2.png,c623c61039631eb2bb2f249b0adc95ec354491554fa03de2028d7106f49ded6b,770941,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-3.png,1f597bfada23113093074625d209c9c327b6f94eee331b38ad161b9f9a698c4e,381306,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-4.png,74a3c933dd2f1b83a67158f590bad69bd9f67e38e28e81ca8a33388aec9d307d,456726,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-5.png,cc8fdf77d7ad1180b2d1d3a15f078b6729a54adf12f0394f269c4c7caab61f86,636610,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-6.png,4ace615f87b8c99da7507f91e1cf35f2fbd5d004c61658cb727707533d6a28a6,611586,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-7.png,7f711a38e40f1d0157e4754ad612a5f4ca211b309c0bc3488e189bd145feb21d,562558,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-8.png,86e2b53efec4d1558a29b5707ba2f380d4f27eaafce9ad11d557ad81401b8f3b,494508,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v6b/page-9.png,c70984760c49173e92b08d50035ed8030b4b9edbb63ff1c83ea5470c23d07bb5,645643,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/Janus_MoSSe_ACSNano_Structured_Manuscript_v7.pdf,6cc435e2dcacdf8d2417c2306f39e834fbc4e93f2d52ac2f94d23669d1ce6256,1530585,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-1.png,409d936f03269cf94ea0453280a4808be1985de8018375b68ef90c4d4e314dde,631645,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-10.png,5a3d4417edc469f67acc6002eb0a391c0fe33c2a98cb3fe0e982e582b456bf69,661984,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-11.png,4f844ee7b794f9542b46db7d29aee679e920850aa1771b78393efe9e9a198c43,556054,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-12.png,903da1d3140cb09038610d9a2582dca17a4f41405a1817dc580b58d84830b046,559629,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-13.png,17b7252103999093d243933aabbea8adfd89edcf73e8fc7982e86fb3de0099ba,612816,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-14.png,2ea8a7e8994ad25fccff5a5bb2a169c808a25347c2ddc23ce8915f4b40a710d0,431580,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-15.png,4fa3d9bb02d0501051b3d4f4c155ce1d85c362ae691f2d59370ed4f09842d281,624995,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-16.png,acb70f525b6f0262c0526c94710147fc947992595d2eb12da69600c8aeef258e,461087,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-2.png,c623c61039631eb2bb2f249b0adc95ec354491554fa03de2028d7106f49ded6b,770941,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-3.png,1f597bfada23113093074625d209c9c327b6f94eee331b38ad161b9f9a698c4e,381306,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-4.png,74a3c933dd2f1b83a67158f590bad69bd9f67e38e28e81ca8a33388aec9d307d,456726,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-5.png,cc8fdf77d7ad1180b2d1d3a15f078b6729a54adf12f0394f269c4c7caab61f86,636610,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-6.png,4ace615f87b8c99da7507f91e1cf35f2fbd5d004c61658cb727707533d6a28a6,611586,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-7.png,7f711a38e40f1d0157e4754ad612a5f4ca211b309c0bc3488e189bd145feb21d,562558,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-8.png,86e2b53efec4d1558a29b5707ba2f380d4f27eaafce9ad11d557ad81401b8f3b,494508,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
EXCLUDE,,janus_acs_nano_venue/render_v7/page-9.png,c70984760c49173e92b08d50035ed8030b4b9edbb63ff1c83ea5470c23d07bb5,645643,EPHEMERAL_QA,OK,Rendered page/QA-only intermediate; reproducible from source document.
